# iy iz iroll Y Z Roll candidate quality planning_ratio q0 q1 q2 q3 q4 q5
0 0 0 -0.75000000 0.40000000 1.20000000 0 11.08960000 1.00000000 0.00000000 -0.51368597 -1.37682609 -2.12357002 0.00000000 0.00000000
0 0 1 -0.75000000 0.40000000 1.51818000 0 11.10790000 1.00000000 0.00000000 -1.23313437 -0.93512973 -2.79623696 0.00000000 0.00000000
0 0 2 -0.75000000 0.40000000 1.83636000 0 9.85766000 0.87500000 0.00000000 -0.37626664 -1.13333027 -2.11850602 0.00000000 0.00000000
0 0 3 -0.75000000 0.40000000 2.15455000 0 9.84023000 0.87500000 0.00000000 -0.44607819 -0.93088024 -2.05266072 0.00000000 0.00000000
0 0 4 -0.75000000 0.40000000 2.47273000 0 9.84153000 0.87500000 0.00000000 -1.48332628 -0.82492744 -2.88738654 0.00000000 0.00000000
0 0 5 -0.75000000 0.40000000 2.79091000 0 11.07190000 1.00000000 0.00000000 -2.27524963 1.28150899 -1.85238347 0.00000000 0.00000000
0 0 6 -0.75000000 0.40000000 3.10909000 0 11.04480000 1.00000000 0.00000000 -2.84806347 -0.26423285 -2.87260007 0.00000000 0.00000000
0 0 7 -0.75000000 0.40000000 3.42727000 0 8.55517000 0.75000000 0.00000000 -2.25926024 -0.96967506 -2.73982348 0.00000000 0.00000000
0 0 8 -0.75000000 0.40000000 3.74545000 0 8.47943000 0.75000000 0.00000000 -3.22573334 -0.38066925 -2.41173044 0.00000000 0.00000000
0 0 9 -0.75000000 0.40000000 4.06364000 0 7.24802000 0.62500000 0.00000000 -3.37773481 -1.76755114 -2.27132497 0.00000000 0.00000000
0 0 10 -0.75000000 0.40000000 4.38182000 0 5.97037000 0.50000000 0.00000000 -3.54044544 -1.39437950 -2.74211919 0.00000000 0.00000000
0 0 11 -0.75000000 0.40000000 4.70000000 0 4.70925000 0.37500000 0.00000000 -3.63583953 -1.96221017 -1.64217334 0.00000000 0.00000000
0 1 0 -0.75000000 0.45000000 1.20000000 0 11.10380000 1.00000000 0.00000000 -0.53410565 1.58767890 -1.62042433 0.00000000 0.00000000
0 1 1 -0.75000000 0.45000000 1.51818000 0 11.10080000 1.00000000 0.00000000 -0.35025695 0.04301698 -2.62878152 0.00000000 0.00000000
0 1 2 -0.75000000 0.45000000 1.83636000 0 9.85489000 0.87500000 0.00000000 -0.47478877 -0.26797122 -2.51053467 0.00000000 0.00000000
0 1 3 -0.75000000 0.45000000 2.15455000 0 8.61155000 0.75000000 0.00000000 -1.00505789 -0.97681221 -2.19166289 0.00000000 0.00000000
0 1 4 -0.75000000 0.45000000 2.47273000 0 9.85329000 0.87500000 0.00000000 -1.37504789 0.51937623 -1.52022830 0.00000000 0.00000000
0 1 5 -0.75000000 0.45000000 2.79091000 0 11.08000000 1.00000000 0.00000000 -1.70118472 -0.61605080 -2.81522853 0.00000000 0.00000000
0 1 6 -0.75000000 0.45000000 3.10909000 0 11.07860000 1.00000000 0.00000000 -2.50400522 -1.74442113 -1.31455292 0.00000000 0.00000000
0 1 7 -0.75000000 0.45000000 3.42727000 0 9.81165000 0.87500000 0.00000000 -2.77433104 0.71232939 -2.54732784 0.00000000 0.00000000
0 1 8 -0.75000000 0.45000000 3.74545000 0 8.56249000 0.75000000 0.00000000 -3.08607316 0.62332692 -2.10432179 0.00000000 0.00000000
0 1 9 -0.75000000 0.45000000 4.06364000 0 7.30978000 0.62500000 0.00000000 -3.18224166 0.53818820 -2.03233903 0.00000000 0.00000000
0 1 10 -0.75000000 0.45000000 4.38182000 0 4.79132000 0.37500000 0.00000000 -3.45754939 -0.41221112 -1.87303566 0.00000000 0.00000000
0 1 11 -0.75000000 0.45000000 4.70000000 0 7.25764000 0.62500000 0.00000000 -3.27131552 -1.62082377 -2.64904047 0.00000000 0.00000000
0 2 0 -0.75000000 0.50000000 1.20000000 0 11.10500000 1.00000000 0.00000000 0.29558447 -1.02454390 -1.54833419 0.00000000 0.00000000
0 2 1 -0.75000000 0.50000000 1.51818000 0 11.08930000 1.00000000 0.00000000 0.23245631 -1.64462641 -1.90624722 0.00000000 0.00000000
0 2 2 -0.75000000 0.50000000 1.83636000 0 8.60822000 0.75000000 0.00000000 -0.50340743 -1.19462851 -2.27259958 0.00000000 0.00000000
0 2 3 -0.75000000 0.50000000 2.15455000 0 8.60512000 0.75000000 0.00000000 -1.04640761 0.46459788 -1.63772043 0.00000000 0.00000000
0 2 4 -0.75000000 0.50000000 2.47273000 0 9.84238000 0.87500000 0.00000000 -1.70088291 -0.26714465 -2.76597539 0.00000000 0.00000000
0 2 5 -0.75000000 0.50000000 2.79091000 0 11.09710000 1.00000000 0.00000000 -2.18819029 -0.66848967 -2.40483850 0.00000000 0.00000000
0 2 6 -0.75000000 0.50000000 3.10909000 0 11.05650000 1.00000000 0.00000000 -3.08550333 1.16988507 -2.69797541 0.00000000 0.00000000
0 2 7 -0.75000000 0.50000000 3.42727000 0 9.81038000 0.87500000 0.00000000 -2.72370034 -0.17514548 -2.39858703 0.00000000 0.00000000
0 2 8 -0.75000000 0.50000000 3.74545000 0 8.57089000 0.75000000 0.00000000 -3.18842735 0.40224783 -2.26138245 0.00000000 0.00000000
0 2 9 -0.75000000 0.50000000 4.06364000 0 7.28166000 0.62500000 0.00000000 -3.26510154 0.34998825 -2.03802694 0.00000000 0.00000000
0 2 10 -0.75000000 0.50000000 4.38182000 0 7.26138000 0.62500000 0.00000000 -2.82650293 -1.64588954 -1.79662892 0.00000000 0.00000000
0 2 11 -0.75000000 0.50000000 4.70000000 0 6.03218000 0.50000000 0.00000000 -2.73200500 -1.61509611 -1.92627027 0.00000000 0.00000000
0 3 0 -0.75000000 0.55000000 1.20000000 0 11.05640000 1.00000000 0.00000000 -0.87031958 1.22618240 -2.87569379 0.00000000 0.00000000
0 3 1 -0.75000000 0.55000000 1.51818000 0 11.10160000 1.00000000 0.00000000 -0.29475252 0.37058124 -2.32109797 0.00000000 0.00000000
0 3 2 -0.75000000 0.55000000 1.83636000 0 9.83827000 0.87500000 0.00000000 -0.11965315 -1.22653509 -1.48456650 0.00000000 0.00000000
0 3 3 -0.75000000 0.55000000 2.15455000 0 8.60962000 0.75000000 0.00000000 -0.97966498 0.39572338 -1.66717880 0.00000000 0.00000000
0 3 4 -0.75000000 0.55000000 2.47273000 0 9.85596000 0.87500000 0.00000000 -1.45507366 0.14238622 -2.67798559 0.00000000 0.00000000
0 3 5 -0.75000000 0.55000000 2.79091000 0 11.09760000 1.00000000 0.00000000 -2.33721944 1.17153059 -1.68405576 0.00000000 0.00000000
0 3 6 -0.75000000 0.55000000 3.10909000 0 11.06360000 1.00000000 0.00000000 -3.04394097 1.17324383 -2.61984129 0.00000000 0.00000000
0 3 7 -0.75000000 0.55000000 3.42727000 0 9.83487000 0.87500000 0.00000000 -2.75246962 -0.17490231 -2.43979612 0.00000000 0.00000000
0 3 8 -0.75000000 0.55000000 3.74545000 0 8.50247000 0.75000000 0.00000000 -2.86718712 -0.12718611 -2.40720037 0.00000000 0.00000000
